アイスランド,Iceland,354,ヨーロッパ
アイルランド,Ireland,353,ヨーロッパ
アゼルバイジャン,Azerbaidjan,994,ヨーロッパ
アセンション島,Ascension,247,アフリカ
アゾレス諸島,Azores Islands,351,ヨーロッパ
アフガニスタン,Afghanistan,93,アジア
アメリカ (本土),U.S.A.,1,アメリカ
米領サモア,American Samoa,1-684,オセアニア
米領バージン諸島,American Virgin Is.,1,アメリカ
アラスカ,Alaska,1,アメリカ
アラブ首長国連邦,U.A.E.,971,アジア
アルジェリア,Algeria,213,アフリカ
アルゼンチン,Argentina,54,アメリカ
アルバ,Aruba,297,アメリカ
アルバニア,Albania,355,ヨーロッパ
アルメニア,Armenia,374,ヨーロッパ
アンギラ,Anguilla,1,アメリカ
アンゴラ,Angola,244,アフリカ
アンティグア・バーブーダ,Antigua & Barbuda,1,アメリカ
アンドラ,Andorra,376,ヨーロッパ
イエメン,Yemen,967,アジア
イギリス,U.K.,44,ヨーロッパ
英領バージン諸島,British Virgin Is.,1,アメリカ
イスラエル,Israel,972,アジア
イタリア,Italy,39,ヨーロッパ
イラク,Iraq,964,アジア
イラン,Iran,98,アジア
インド,India,91,アジア
インドネシア,Indonesia,62,アジア
ウガンダ,Uganda,256,アフリカ
ウクライナ,Ukraine,380,ヨーロッパ
ウズベキスタン,Uzbekistan,998,ヨーロッパ
ウルグアイ,Uruguay,598,アメリカ
エクアドル,Ecuador,593,アメリカ
エジプト,Egypt,20,アフリカ
エストニア,Estonia,372,ヨーロッパ
エチオピア,Ethiopia,251,アフリカ
エリトリア,Eritrea,291,アフリカ
エルサルバドル,El Salvador,503,アメリカ
オーストラリア,Australia,61,オセアニア
オーストリア,Austria,43,ヨーロッパ
オマーン,Oman,968,アジア
オランダ,Netherlands,31,ヨーロッパ
オランダ領アンティール,Netherlands Antilles,599,アメリカ
ガーナ,Ghana,233,アフリカ
カーボベルデ,Cape Verde,238,アフリカ
ガイアナ,Guyana,592,アメリカ
カザフスタン,Kazakhstan,7,ヨーロッパ
カタール,Qatar,974,アジア
カナダ,Canada,1,アメリカ
カナリア諸島,Canary Islands,34,ヨーロッパ
ガボン,Gabon,241,アフリカ
カメルーン,Cameroon,237,アフリカ
韓国,Korea(Rep. of),82,アジア
ガンビア,Gambia,220,アフリカ
カンボジア,Cambodia,855,アジア
北朝鮮 (朝鮮民主主義人民共和国),Korea(Demo.),850,アジア
ギニア,Guinea,224,アフリカ
ギニアビサウ,GuineaBissau,245,アフリカ
キプロス,Cyprus,357,アジア
キューバ,Cuba,53,アメリカ
ギリシア,Greece,30,ヨーロッパ
キリバス,Kiribati,686,オセアニア
キルギスタン,Kyrgyz Rep.,996,ヨーロッパ
グアテマラ,Guatemala,502,アメリカ
グアドループ島,Guadeloupe,590,アメリカ
グアム,Guam,1,オセアニア
クウェート,Kuwait,965,アジア
クック諸島,Cook Islands,682,オセアニア
グリーンランド,Greenland,299,ヨーロッパ
クリスマス島,Christmas Is.,61,オセアニア
グレナダ,Grenada,1,アメリカ
クロアチア,Croatia,385,ヨーロッパ
ケイマン諸島,Cayman Islands,1,アメリカ
ケニア,Kenya,254,アフリカ
コートジボワール,Cote d'lvoire,225,アフリカ
ココス諸島,Cocos Keeling Is.,61,オセアニア
コスタリカ,Costa Rica,506,アメリカ
コソボ,Kosovo,383,ヨーロッパ
コモロ,Comoros,269,アフリカ
コロンビア,Colombia,57,アメリカ
コンゴ,Congo(Rep. of),242,アフリカ
コンゴ民主共和国,Congo (Demo.),243,アフリカ
サイパン,Saipan,1,オセアニア
サウジアラビア,Saudi Arabia,966,アジア
サモア,Samoa,685,オセアニア
サントメ・プリンシペ,Sao Tome & Principe,239,アフリカ
ザンビア,Zambia,260,アフリカ
サンピエール島・ミクロン島,St. Pierre & Miquelo,508,アメリカ
サンマリノ,San Marino,378,ヨーロッパ
シエラレオネ,Sierra Leone,232,アフリカ
ジブチ,Djibouti,253,アフリカ
ジブラルタル,Gibraltar,350,ヨーロッパ
ジャマイカ,Jamaica,1,アメリカ
ジョージア,Georgia,995,ヨーロッパ
シリア,Syria,963,アジア
シンガポール,Singapore,65,アジア
ジンバブエ,Zimbabwe,263,アフリカ
スイス,Switzerland,41,ヨーロッパ
スウェーデン,Sweden,46,ヨーロッパ
スーダン,Sudan,249,アフリカ
スペイン,Spain,34,ヨーロッパ
スペイン領北アフリカ,Spanish North Africa,34,ヨーロッパ
スラーヤーテレコム,Thuraya Satellite,88216,衛星 (スラーヤー)
スリナム,Suriname,597,アメリカ
スリランカ,Sri Lanka,94,アジア
スロバキア,Slovak,421,ヨーロッパ
スロベニア,Slovenia,386,ヨーロッパ
スワジランド,Swaziland,268,アフリカ
赤道ギニア,Equatorial Guinea,240,アフリカ
セネガル,Senegal,221,アフリカ
セルビア,Serbia,381,ヨーロッパ
セントクリストファー・ネイビス,St. Christopher & Ne,1,アメリカ
セントビンセントおよびグレナディーン諸島,St. Vincent & the Gr,1,アメリカ
セントヘレナ島,St. Helena,290,アフリカ
セントルシア,St. Lucia,1,アメリカ
ソマリア,Somalia,252,アフリカ
ソロモン諸島,Solomon Is.,677,オセアニア
タークス諸島・カイコス諸島,Turks & Caicos Is.,1,アメリカ
タイ,Thailand,66,アジア
台湾,Taiwan,886,アジア
タジキスタン,Tadzhikistan,992,ヨーロッパ
タンザニア,Tanzania,255,アフリカ
チェコ,Czech,420,ヨーロッパ
チャド,Chad,235,アフリカ
中央アフリカ,Central Africa,236,アフリカ
中国,China,86,アジア
チュニジア,Tunisia,216,アフリカ
チリ,Chile,56,アメリカ
ツバル,Tuvalu,688,オセアニア
デンマーク,Denmark,45,ヨーロッパ
ドイツ,Germany,49,ヨーロッパ
トーゴ,Togo,228,アフリカ
トケラウ諸島,Tokelau Islands,690,オセアニア
ドミニカ,Dominica,1,アメリカ
ドミニカ共和国,Dominican Rep.,1,アメリカ
トリニダード・トバゴ,Trinidad & Tobago,1,アメリカ
トルクメニスタン,Turkmenistan,993,ヨーロッパ
トルコ,Turkey,90,ヨーロッパ
トンガ,Tonga,676,オセアニア
ナイジェリア,Nigeria,234,アフリカ
ナウル,Nauru,674,オセアニア
ナミビア,Namibia,264,アフリカ
ニウエ,Niue,683,オセアニア
ニカラグア,Nicaragua,505,アメリカ
ニジェール,Niger,227,アフリカ
日本,Japan,81,アジア
ニューカレドニア,New Caledonia,687,オセアニア
ニュージーランド,New Zealand,64,オセアニア
ネパール,Nepal,977,アジア
ノーフォーク島,Norfolk Island,672,オセアニア
ノルウェー,Norway,47,ヨーロッパ
バーレーン,Bahrain,973,アジア
ハイチ,Haiti,509,アメリカ
パキスタン,Pakistan,92,アジア
バチカン,Italy,39,ヨーロッパ
パナマ,Panama,507,アメリカ
バヌアツ,Vanuatu,678,オセアニア
バハマ,Bahamas,1,アメリカ
パプアニューギニア,Papua New Guinea,675,オセアニア
バミューダ諸島,Bermuda,1,アメリカ
パラオ,Palau,680,オセアニア
パラグアイ,Paraguay,595,アメリカ
バルバドス,Barbados,1,アメリカ
ハワイ,Hawaii,1,オセアニア
ハンガリー,Hungary,36,ヨーロッパ
バングラデシュ,Bangladesh,880,アジア
東ティモール,East Timor,670,アジア
フィジー,Fiji,679,オセアニア
フィリピン,Philippines,63,アジア
フィンランド,Finland,358,ヨーロッパ
ブータン,Bhutan,975,アジア
プエルトリコ,Puerto Rico,1,アメリカ
フェロー諸島,Faroe Islands,298,ヨーロッパ
フォークランド諸島,Falkland Is.,500,アメリカ
ブラジル,Brazil,55,アメリカ
フランス,France,33,ヨーロッパ
フランス領ギアナ,French Guiana,594,アメリカ
フランス領ポリネシア,French Polynesia,689,オセアニア
ブルガリア,Bulgaria,359,ヨーロッパ
ブルキナファソ,Burkina Faso,226,アフリカ
ブルネイ,Brunei,673,アジア
ブルンジ,Burundi,257,アフリカ
ベトナム,Viet Nam,84,アジア
ベナン,Benin,229,アフリカ
ベネズエラ,Venezuela,58,アメリカ
ベラルーシ,Belarus,375,ヨーロッパ
ベリーズ,Belize,501,アメリカ
ペルー,Peru,51,アメリカ
ベルギー,Belgium,32,ヨーロッパ
ポーランド,Poland,48,ヨーロッパ
ボスニア・ヘルツェゴビナ,Bosnia & Herzegovina,387,ヨーロッパ
ボツワナ,Botswana,267,アフリカ
ボリビア,Bolivia,591,アメリカ
ポルトガル,Portugal,351,ヨーロッパ
香港,Hong Kong,852,アジア
ホンジュラス,Honduras,504,アメリカ
マーシャル諸島,Marshall Is.,692,オセアニア
マカオ,Macao,853,アジア
マケドニア,Macedonia,389,ヨーロッパ
マダガスカル,Madagascar,261,アフリカ
マディラ諸島,Madeira,351,ヨーロッパ
マラウイ,Malawi,265,アフリカ
マリ,Mali,223,アフリカ
マルタ,Malta,356,ヨーロッパ
マルチニーク島,Martinique,596,アメリカ
マレーシア,Malaysia,60,アジア
ミクロネシア連邦,Micronesia,691,オセアニア
南アフリカ,South Africa,27,アフリカ
ミャンマー,Myanmar,95,アジア
メキシコ,Mexico,52,アメリカ
モーリシャス,Mauritius,230,アフリカ
モーリタニア,Mauritania,222,アフリカ
モザンビーク,Mozambique,258,アフリカ
モナコ,Monaco,377,ヨーロッパ
モルディブ,Maldives,960,アジア
モルドバ,Moldova,373,ヨーロッパ
モロッコ,Morocco,212,アフリカ
モンゴル,Mongolia,976,アジア
モンセラット,Montserrat,1,アメリカ
モンテネグロ,Montenegro,382,ヨーロッパ
ヨルダン,Jordan,962,アジア
ラオス,Laos,856,アジア
ラトビア,Latvia,371,ヨーロッパ
リトアニア,Lithuania,370,ヨーロッパ
リビア,Libya,218,アフリカ
リヒテンシュタイン,Liechtenstein,423,ヨーロッパ
リベリア,Liberia,231,アフリカ
ルーマニア,Romania,40,ヨーロッパ
ルクセンブルグ,Luxembourg,352,ヨーロッパ
ルワンダ,Rwanda,250,アフリカ
レソト,Lesotho,266,アフリカ
レバノン,Lebanon,961,アジア
レユニオン,Reunion,262,アフリカ
ロシア連邦,Russian Fed.,7,ヨーロッパ
